uname,password,dob,email,mobile,full_name
akash,123,1995-12-12,akash@gmail.com,9988776655,"Akash More"
ankitmangolover,1234,1995-01-23,ankit@gmail.com,8899006655,"Ankit Tiwari"
ashu,123,1998-12-28,ashu@gmail.com,345466789067,"Ashutosh Yadav"
ashudon,123,1998-12-28,ashu@gmail.com,345466789067,"ashutosh yadav"
chetan,123,1999-02-12,chetan@gmail.com,3322446565,"Chetan Sawarkar"
"maqsood mujahiddeen",almighty786,0786-06-09,mujaheed@gmail.com,7867866969,NULL
osama_Bin_Lagging,heisalive,0786-06-09,osama@gmail.com,7867866969,"Osama Bin Ladin"
pandhari_Fadke,dada,1969-06-09,pandhari@gmail.com,6969420420,NULL
rehman_suleman,786,1990-07-07,suleman@gmail.com,9999999007,NULL
"selmun boi",Deerlover,0786-06-09,DeerLover@gmail.com,7867866969,"Salman Khan"
UdayanRaje,007,1990-07-07,Raje007@gmail.com,9999999007,"Udayan Raje"
